state,ws,wd,ti,mol,weight
71,8.98,342.3,0.016,-1366.9,6.820174064576867e-05
72,19.51,192.1,0.043,-852.0,0.0001539910045737
73,17.13,300.2,0.039,-1545.1,0.0001296963531904
74,15.55,207.2,0.067,763.8,0.0001185423813199
75,6.61,281.8,0.027,,1.3735539923038726e-05
76,11.72,65.2,0.163,-1425.7,0.0001459519078582
77,9.55,273.9,0.155,1251.5,2.853920204464415e-05
78,10.76,294.8,0.165,,6.662964007452081e-05
79,16.12,353.8,0.062,1371.0,0.000105106247739
80,16.83,311.9,0.028,-1836.6,0.0001402742431804
81,20.57,350.6,0.151,494.1,3.12737629099806e-05
82,20.1,115.1,0.135,,0.0001554826828083
83,15.96,72.3,0.011,-892.5,0.0001200411948325
84,13.72,114.2,0.042,-585.6,4.474344013160572e-05
85,12.02,87.5,0.171,681.8,4.791212632313594e-05
86,5.78,240.6,0.052,-1511.1,0.0001159824435054
87,9.68,213.2,0.105,1148.8,6.232817555125362e-05
88,23.46,27.1,0.114,1144.2,1.685229674708009e-05
89,10.52,219.6,0.106,-736.6,0.0001079996665683
90,10.59,97.4,0.046,-780.9,5.964955265498013e-05
91,14.92,40.9,0.051,931.9,0.0001378856333056
92,12.48,100.6,0.018,,9.485100658199523e-05
93,5.39,182.8,0.065,-989.6,1.551862475301654e-05
94,23.84,78.2,0.174,252.7,2.3982328325069912e-05
95,7.31,33.1,0.123,-788.5,0.0001173936659118
96,17.9,165.4,0.152,,0.0001643791312313
97,11.95,85.0,0.148,,9.002818573034533e-05
98,19.32,287.8,0.084,951.8,2.2925026714913608e-05
99,10.07,310.0,0.161,1821.3,0.0001207558737052
100,18.7,222.4,0.04,-1271.7,0.000118790334972
101,11.55,312.0,0.064,1950.0,4.864209995466783e-05
102,11.18,9.5,0.018,766.2,2.5913600884885808e-05
103,5.69,97.9,0.023,-589.5,8.284981628995671e-05
104,11.52,11.8,0.107,1355.4,8.89094364211411e-05
105,13.05,168.3,0.025,-406.4,0.0001610566922891
106,6.48,71.5,0.138,,4.994108722506426e-05
107,9.83,242.7,0.079,-323.5,0.0001364623346757
108,23.44,188.3,0.096,307.1,6.445900644994292e-05
109,17.94,19.5,0.01,-1220.0,0.0001056053605204
110,19.09,236.8,0.09,,6.107587515093033e-05
111,8.55,232.2,0.052,-1130.2,4.08970497004271e-05
112,24.13,66.7,0.158,1193.3,0.0001006660631467
113,8.94,180.5,0.15,296.9,0.000102015573533
114,14.11,97.1,0.103,,0.0001009007799321
115,15.15,217.8,0.09,470.0,6.629654655190775e-05
116,23.07,175.3,0.173,-1164.9,0.000148566451165
117,12.71,28.2,0.089,-1820.0,7.87726756911413e-05
118,9.07,153.3,0.037,-317.6,0.0001227072351587
119,13.64,142.0,0.119,1566.7,0.0001237394272592
120,11.56,301.6,0.087,-1144.2,0.0001417053309582
121,6.37,294.0,0.091,-614.0,0.0001308283623582
122,24.41,221.3,0.146,,9.612988338488934e-05
123,10.5,180.5,0.078,-1319.9,0.0001033563770034
124,20.27,270.3,0.036,1959.2,8.856281832511e-05
125,8.8,170.7,0.045,-491.0,0.000129684100127
126,24.35,79.3,0.177,1836.6,7.11700101449125e-05
127,17.42,121.0,0.136,-401.9,1.488649332333242e-05
128,10.15,248.0,0.06,538.1,4.394277156236444e-05
129,22.2,205.9,0.169,-515.2,0.0001139488203989
130,8.87,226.3,0.018,,4.134480862057339e-05
131,15.31,75.3,0.169,-1462.0,1.908635575480469e-05
132,23.65,350.4,0.093,856.4,0.0001651434625255
133,10.47,310.1,0.028,505.0,2.3904918475591803e-05
134,13.23,123.9,0.048,1478.4,6.828005721518551e-05
135,22.92,282.5,0.014,-1001.8,7.746811705419411e-05
136,10.5,348.8,0.061,,0.0001674340214325
137,5.38,91.3,0.119,1607.4,0.0001051489748608
138,21.89,242.3,0.023,303.0,0.0001373266999615
139,24.63,193.3,0.128,859.8,3.981359499998365e-05
140,23.61,21.1,0.115,-571.4,2.62619802786688e-05
141,16.67,202.4,0.155,622.1,5.04201256139687e-05
142,14.47,47.9,0.034,722.1,7.856256941683839e-05
143,17.01,278.6,0.01,,0.0001189987669715
144,8.17,265.5,0.067,1504.3,2.2432061780051447e-05
145,12.59,143.3,0.031,-825.5,8.141135749196234e-05
146,5.98,265.4,0.123,,5.045906093690448e-05
147,20.7,4.1,0.016,849.2,7.195441277147163e-05
148,18.7,132.8,0.171,-334.7,0.0001583933916818
149,17.79,39.7,0.021,1718.0,6.520503360615042e-05
150,6.92,126.7,0.097,,6.86101385758298e-05
151,7.27,130.7,0.111,-1943.8,3.3161891036868885e-05
152,17.89,232.0,0.038,,0.0001109200693462
153,21.95,137.5,0.133,-1743.4,6.714219764585766e-05
154,24.69,345.5,0.08,251.0,0.0001357574324824
155,16.41,110.6,0.023,,2.5887907422449885e-05
156,15.16,126.8,0.117,896.2,4.112666346193095e-05
157,20.29,150.3,0.178,-682.8,8.954569781057443e-05
158,6.35,60.0,0.117,,0.0001596618898041
159,14.81,193.8,0.031,-1647.8,9.621499556537532e-05
160,6.0,15.8,0.031,1896.6,0.0001031895338469
161,5.66,95.0,0.148,1635.0,0.0001638547209666
162,11.58,358.0,0.133,-134.2,2.1022921945950585e-05
163,11.9,343.6,0.077,-911.2,3.516646288858871e-05
164,17.99,85.8,0.094,,2.518116033697567e-06
165,9.87,293.1,0.043,-935.1,6.605021110006693e-05
166,5.58,336.7,0.084,,0.0001216297346253
167,12.54,353.9,0.022,1642.0,2.7766374354819192e-05
168,5.67,99.4,0.154,312.2,3.632991629439543e-05
169,6.31,344.5,0.093,1183.4,7.413993934732433e-05
170,6.61,290.2,0.138,1584.7,4.609002835238283e-05
171,20.84,308.4,0.024,920.1,6.887350842734958e-05
172,9.56,122.2,0.146,-1029.8,5.670487024630341e-05
173,24.41,15.4,0.034,-359.4,0.0001118883985943
174,24.66,282.3,0.171,-1983.6,2.2794175645408542e-05
175,13.79,159.4,0.063,-1272.1,7.230855994335728e-05
176,6.46,132.7,0.142,,0.0001260147618252
177,6.46,308.6,0.087,-706.8,5.037917306821878e-05
178,23.94,133.7,0.016,,0.0001164593071911
179,16.92,173.9,0.155,-904.9,0.0001609389738431
180,17.56,151.6,0.048,-686.5,2.684224000995489e-05
181,9.41,53.2,0.14,-1191.8,2.34269307672866e-05
182,12.4,29.4,0.131,487.0,3.8588427879761045e-05
183,19.77,357.3,0.106,1206.6,5.312759404372463e-05
184,6.58,231.7,0.095,,5.3244369443033126e-05
185,15.58,34.8,0.154,1841.5,9.144160117473146e-05
186,17.94,101.8,0.053,-600.1,5.3109055049121554e-05
187,22.7,269.8,0.147,-117.7,0.0001608781664655
188,11.88,293.8,0.087,,2.8933157018627307e-05
189,15.45,338.2,0.068,1882.3,3.758369624290313e-05
190,15.67,53.2,0.072,1935.3,0.0001506299897027
191,10.45,83.5,0.04,1971.1,0.0001374296016797
192,8.34,267.4,0.055,,5.877019470302104e-05
193,16.52,313.6,0.119,530.8,0.0001458151329391
194,16.72,3.2,0.107,-1928.2,2.958883384195345e-05
195,6.46,275.3,0.127,1724.2,0.0001209863139696
196,9.78,246.1,0.083,-537.3,0.0001650721749065
197,9.7,211.7,0.141,-578.1,2.191900833174699e-05
198,20.13,271.9,0.117,1590.2,0.0001298330150924
199,18.74,342.2,0.124,-1580.1,0.0001628946331212
200,6.87,304.7,0.136,-1736.8,0.0001453740427667
201,22.5,315.5,0.146,1338.4,9.374915567800753e-05
202,5.51,153.5,0.1,-960.9,0.0001231511262546
203,13.9,135.6,0.157,,1.272945589006444e-05
204,11.33,221.9,0.036,,9.589507568648822e-05
205,5.18,336.1,0.125,-1294.2,8.129213940987888e-05
206,13.98,267.2,0.12,1408.2,7.748335917292262e-05
207,5.62,245.4,0.17,-1434.5,5.8658738447900254e-05
208,17.19,318.9,0.16,,8.312067811654674e-05
209,5.33,289.0,0.156,,4.7945778807318334e-05
210,22.76,239.8,0.104,247.0,1.8992431807360343e-05
211,22.13,285.0,0.056,-1474.6,2.99935604032654e-05
212,12.66,100.8,0.054,,1.5624199858306708e-05
213,8.5,218.8,0.048,-603.6,0.0001138019049451
214,9.16,28.1,0.177,,0.0001444964846956
215,24.54,6.1,0.107,380.4,0.0001318740060383
216,18.23,22.7,0.139,783.8,0.0001019783395704
217,15.96,176.1,0.114,418.8,0.0001029428933692
218,7.42,165.6,0.134,1599.4,7.18028107935918e-05
219,11.84,83.1,0.114,-738.1,6.304939087897366e-05
220,24.43,104.5,0.101,1103.2,3.8809495917622655e-05
221,15.53,154.2,0.178,498.9,8.5458456022443e-05
222,18.74,37.5,0.144,994.4,0.0001044968263321
223,16.8,305.5,0.136,1485.1,0.0001140670307307
224,10.53,275.6,0.103,,6.0111610638726095e-05
225,15.33,27.0,0.032,-444.7,0.0001522511552516
226,12.31,131.2,0.155,-1302.7,0.0001539803438546
227,14.58,223.3,0.163,-531.1,3.644371542963812e-05
228,6.28,63.9,0.113,,1.7685935258749855e-05
229,17.85,278.7,0.033,-1700.1,0.0001175091234126
230,12.53,343.9,0.142,1355.1,2.7937958464459715e-06
231,22.06,159.5,0.052,1591.8,5.172251210909991e-05
232,7.27,157.4,0.141,-993.1,0.0001220914222815
233,18.4,237.9,0.132,1303.9,7.8594563756346e-05
234,16.11,27.9,0.023,-344.0,8.844690527409749e-05
235,16.96,98.1,0.012,-1432.6,7.128236773606e-05
236,18.82,187.8,0.165,-736.9,3.164577474220801e-05
237,18.06,30.8,0.012,1091.1,7.864522806911454e-05
238,17.82,221.7,0.032,-780.9,7.370828847211362e-05
239,15.81,204.0,0.017,1093.3,1.3215587021228672e-05
240,17.6,225.5,0.034,-1731.9,8.40696254295895e-05
241,19.29,167.3,0.109,1766.4,0.0001175769050613
242,11.65,159.2,0.127,,4.68961421626828e-05
243,23.34,98.3,0.095,405.9,0.0001323261561384
244,12.67,342.5,0.134,527.6,9.052581955396573e-05
245,17.05,115.5,0.134,-277.8,5.553740713156845e-05
246,24.54,340.8,0.156,1810.4,2.6529803907990323e-05
247,19.35,32.7,0.076,,7.124984966106203e-05
248,10.49,152.0,0.061,186.3,0.0001267922838134
249,10.82,165.6,0.081,-154.0,9.18275936748041e-05
250,13.88,271.7,0.03,,0.0001342200783448
251,16.75,63.7,0.076,-1794.4,0.000100428482673
252,15.63,167.4,0.11,830.7,0.0001673010054775
253,23.61,297.9,0.153,1355.3,0.0001119736522066
254,8.5,105.7,0.178,113.6,0.0001659387151962
255,19.61,304.5,0.109,-320.7,8.818691093543511e-05
256,13.0,235.1,0.073,297.4,8.658299185019467e-05
257,19.66,345.6,0.143,,0.0001128346783522
258,14.76,250.0,0.054,934.2,0.0001313193482159
259,7.36,62.0,0.067,-1595.6,2.784006345809138e-05
260,13.97,114.3,0.117,-1759.2,7.08422258638723e-05
261,5.5,262.6,0.036,,0.000126062596469
262,21.8,115.1,0.037,,9.52794553642603e-05
263,19.04,316.0,0.013,1212.9,0.0001234245797798
264,7.47,0.2,0.095,-245.5,3.077520882724846e-05
265,16.89,189.4,0.15,,5.200203704748736e-05
266,23.73,156.6,0.064,602.0,3.3473177571867125e-05
267,6.98,88.4,0.06,373.7,2.146852063727755e-05
268,17.15,247.2,0.122,-1104.8,3.661235509261385e-05
269,10.26,252.1,0.178,1964.8,5.2422198579962775e-06
270,10.04,346.9,0.149,-875.5,0.0001192190767795
271,24.44,223.0,0.177,1777.3,7.023878847996554e-05
272,15.37,155.3,0.177,-225.9,7.006048906593126e-05
273,21.18,15.9,0.157,1739.5,5.0742051079188754e-05
274,24.48,99.4,0.169,,0.0001391920467229
275,23.74,168.0,0.086,,3.590889706216411e-05
276,23.07,104.0,0.058,,2.9204020411047584e-05
277,17.28,165.4,0.041,1179.6,0.0001278815279987
278,10.91,150.8,0.064,-409.3,2.2320867990269385e-05
279,18.16,307.8,0.122,1669.4,7.247538282715149e-05
280,5.19,348.7,0.152,-1978.2,9.390813739678264e-05
281,20.65,325.1,0.079,654.1,7.506707042062798e-05
282,19.47,349.8,0.099,-1711.8,0.0001034218567086
283,14.45,234.6,0.082,-900.6,0.0001512743320524
284,17.59,160.2,0.092,-1073.8,0.000130786031489
285,14.67,174.2,0.073,,0.0001513667309442
286,23.07,74.1,0.072,,0.0001050081242643
287,18.96,193.1,0.044,1919.2,0.0001284646633062
288,8.4,60.1,0.081,1543.7,0.000104670937458
289,12.08,145.6,0.028,1976.5,2.190594261331657e-05
290,6.41,106.5,0.066,-838.8,6.007923927115408e-05
291,10.32,310.3,0.012,,1.4795247898546842e-05
292,17.2,352.5,0.163,-908.8,1.4206966630920788e-05
293,5.7,27.8,0.098,-1185.0,9.080191078554746e-05
294,17.2,219.7,0.122,-947.0,8.300317074352258e-05
295,7.56,152.6,0.173,-185.2,8.203865059243278e-05
296,12.25,36.7,0.066,-1850.9,0.0001397401112651
297,10.75,353.1,0.172,651.5,0.0001168140543968
298,6.79,269.9,0.104,,2.981787424266575e-05
299,5.22,107.4,0.157,1287.3,0.0001400561098687
300,24.08,107.9,0.066,632.4,7.925991705621517e-05
301,19.26,157.0,0.15,-1267.0,0.0001253841676667
302,24.35,208.0,0.167,-265.0,2.5960633061885315e-05
303,6.33,183.5,0.073,421.9,9.144969041028158e-05
304,6.54,24.7,0.166,139.9,9.615452845431564e-05
305,12.53,207.4,0.125,-203.1,0.0001576812453918
306,20.25,309.1,0.026,-477.4,8.345630351108896e-05
307,15.21,30.7,0.136,284.2,1.732797495182485e-05
308,8.71,41.4,0.06,,0.0001017482819581
309,11.25,163.1,0.043,759.4,0.0001268776015126
310,19.96,208.6,0.14,-515.3,1.7862342318266157e-05
311,10.58,347.9,0.152,,4.084996877058189e-05
312,19.09,329.5,0.095,484.6,5.7246822460130586e-05
313,20.55,298.8,0.023,,0.0001092038427738
314,22.5,299.0,0.097,,0.0001278617278319
315,23.84,207.2,0.039,1073.3,0.0001192233460954
316,22.24,312.2,0.127,607.9,7.507501904989784e-05
317,22.87,196.7,0.139,1481.3,5.55171091866016e-06
318,15.67,103.4,0.147,,5.995884293721567e-05
319,12.28,91.5,0.098,-1854.7,0.0001188479110909
320,15.18,322.6,0.177,,1.673943929812795e-05
321,16.31,259.7,0.132,1044.9,6.336800768498249e-05
322,21.43,30.9,0.12,,0.0001424234974204
323,7.08,184.9,0.067,-1642.3,3.1072844334525266e-05
324,7.11,316.0,0.17,,0.0001171174638367
325,16.93,235.3,0.141,-1022.5,2.222766464384125e-06
326,12.29,12.2,0.018,-1288.5,0.0001303158512335
327,22.54,87.2,0.04,,0.0001446211926328
328,22.34,309.7,0.053,397.2,6.973187056242423e-05
329,13.58,122.8,0.055,-1796.6,0.0001069294209968
330,24.11,31.7,0.118,906.4,5.9920363053547365e-05
331,22.17,349.8,0.105,378.8,7.10335591368049e-05
332,23.01,212.8,0.013,-1131.1,8.995880600368428e-05
333,7.33,18.1,0.035,,0.0001135540547564
334,16.67,55.2,0.035,-1548.0,0.0001529858244544
335,23.01,192.1,0.014,,8.400241602847584e-05
336,10.37,280.7,0.072,-1022.0,7.446320176862769e-05
337,9.41,132.2,0.16,984.6,0.0001305613917491
338,19.88,125.3,0.045,,4.492968558435225e-05
339,22.79,122.8,0.127,1473.4,2.9094002756637606e-05
340,13.18,276.0,0.018,1701.6,0.0001033611481909
341,7.98,55.2,0.113,,0.0001298357689792
342,11.21,131.9,0.02,,7.15015685544546e-05
343,23.9,325.0,0.129,-1279.9,0.000132945002691
344,20.04,165.9,0.12,-1259.9,0.0001120667002086
345,15.68,227.6,0.037,-462.1,0.0001218227521646
346,21.6,172.4,0.022,-446.9,1.755700639564146e-05
347,11.99,125.0,0.176,-1436.4,0.0001273963742384
348,19.88,123.0,0.165,-1599.0,4.240255467536922e-05
349,19.58,34.8,0.175,1989.3,0.0001635093127177
350,10.26,9.8,0.095,,0.0001291306449808
351,11.17,161.7,0.175,846.7,7.151373511378452e-05
352,5.38,221.0,0.124,816.9,7.806507499191531e-05
353,16.04,124.2,0.13,791.1,8.154637639427619e-05
354,10.51,21.3,0.022,-1282.8,8.369470807757654e-05
355,18.83,23.4,0.159,-1865.4,1.860364482500496e-05
356,12.16,207.7,0.09,-1794.3,2.916737631455856e-06
357,12.69,6.8,0.02,1663.2,1.900856361808277e-05
358,16.45,205.4,0.021,-1882.6,0.0001155134613433
359,6.37,86.6,0.079,1387.5,6.647674806002177e-05
360,23.68,315.0,0.13,1627.2,4.720754583944608e-05
361,16.13,17.6,0.018,1862.3,0.0001225771164818
362,19.16,15.4,0.155,1547.6,3.0857335117253066e-05
363,9.92,137.1,0.067,-1815.7,2.381274886737156e-05
364,20.56,125.7,0.16,-936.1,9.498962745594108e-05
365,8.82,259.4,0.156,1879.2,6.831661954226892e-05
366,15.95,334.6,0.078,-1910.0,0.0001338987117926
367,7.37,190.3,0.123,-403.4,7.919306671871639e-05
368,11.18,326.5,0.171,762.3,0.0001325072028767
369,13.75,347.7,0.174,703.8,2.21928970812338e-05
370,11.43,219.4,0.145,1722.5,3.692515308476881e-05
371,18.35,195.1,0.147,,9.174856137079648e-05
372,10.65,337.5,0.155,438.8,4.302902139860104e-05
373,6.85,251.7,0.097,-387.9,5.040710302900251e-05
374,12.08,239.2,0.044,-1550.9,0.0001356897579674
375,23.63,306.2,0.125,515.9,5.981557118208733e-06
376,11.08,158.6,0.105,,9.03501284047242e-05
377,13.42,199.5,0.056,-511.8,1.2787950038655551e-05
378,17.17,60.0,0.137,-161.0,0.0001001736794786
379,8.48,261.8,0.103,-1310.1,4.822686753254233e-05
380,19.89,121.5,0.049,579.8,0.000130364635302
381,18.46,149.0,0.095,782.4,5.488649837118828e-05
382,14.01,99.5,0.116,-1105.9,1.608513895305839e-05
383,11.15,93.0,0.081,-1798.2,0.000155142603535
384,9.97,283.4,0.082,,9.372973854753056e-06
385,18.9,248.3,0.088,870.5,5.379843912815832e-05
386,19.82,75.6,0.114,829.8,0.0001390045830738
387,6.73,112.0,0.09,875.4,0.0001189605224135
388,23.89,43.5,0.053,-756.5,0.0001156720055985
389,18.97,263.6,0.17,-1225.1,1.3399302174058157e-05
390,7.23,56.5,0.064,-1428.5,0.0001606984012818
391,6.58,349.2,0.016,1103.8,0.0001216477049955
392,24.1,71.9,0.114,-1933.9,4.858693748493529e-05
393,6.67,189.5,0.062,-1244.3,7.805048523660894e-05
394,18.13,59.6,0.119,-453.2,6.446032375666674e-05
395,11.0,249.7,0.137,,5.478382591107681e-05
396,20.98,201.3,0.017,,0.0001275817201482
397,8.38,28.7,0.061,1474.8,0.0001167601239424
398,16.91,183.9,0.084,1872.6,6.019284809668545e-05
399,15.69,316.3,0.179,1075.8,5.4660104066123376e-05
400,10.13,11.8,0.034,-756.9,0.0001372030837558
401,10.51,253.0,0.156,-346.7,0.0001396325308121
402,12.89,341.2,0.159,,0.0001209168840342
403,20.28,7.7,0.109,778.7,0.000137354373612
404,8.69,329.0,0.101,,5.2813156370766186e-05
405,11.65,85.2,0.119,1978.8,8.844697793980154e-05
406,8.82,108.2,0.152,745.0,0.000116201822401
407,7.43,65.7,0.089,-1015.3,1.930847032505273e-05
408,15.81,210.4,0.104,-1716.2,0.0001106562747547
409,23.99,59.5,0.135,408.0,1.0205643369386806e-05
410,11.04,88.8,0.096,1328.3,2.248757119486608e-05
411,24.88,339.3,0.125,462.6,0.0001370683031657
412,16.09,297.0,0.129,-1205.7,0.0001043639230766
413,12.55,156.8,0.125,1054.2,3.233134823188036e-05
414,12.13,119.1,0.178,,3.955402180369116e-05
415,6.22,197.5,0.154,1432.4,5.667467163074914e-05
416,18.21,175.1,0.052,1098.3,0.0001578754738842
417,21.39,246.8,0.14,181.0,0.0001063408527263
418,21.13,54.6,0.053,1953.8,0.0001664747392564
419,14.44,147.3,0.092,,5.517171426713943e-06
420,16.72,91.3,0.084,1082.1,8.453690391953206e-05
421,22.15,276.7,0.159,426.3,7.722320620688822e-05
422,14.01,16.2,0.128,,0.0001458927352658
423,6.31,32.1,0.144,-1704.4,0.0001447917743349
424,11.31,266.5,0.071,-1265.4,0.0001334956855275
425,7.47,346.8,0.145,-524.3,5.385066876512672e-05
426,17.61,78.2,0.085,,0.0001291905652193
427,19.11,33.3,0.03,1098.4,0.0001625071978536
428,20.38,97.3,0.083,-811.7,0.0001478671362973
429,8.8,102.8,0.05,,2.5593802334989416e-05
430,12.7,312.1,0.011,-179.3,7.392654907900049e-06
431,10.08,224.7,0.013,,1.7374018867789655e-06
432,17.55,280.8,0.064,1006.5,6.094982785478397e-05
433,11.48,196.7,0.15,1744.9,0.0001123670753436
434,16.14,347.0,0.175,1895.0,6.874454914531272e-05
435,5.4,86.0,0.022,401.2,0.0001099403876615
436,19.76,183.4,0.078,462.4,0.0001586884929209
437,6.0,297.1,0.011,-1645.8,8.204237910759338e-05
438,23.23,142.0,0.05,-826.0,8.77004134510982e-05
439,6.55,113.2,0.127,,0.0001092610718414
440,9.74,220.6,0.039,-876.5,8.145557207913783e-05
441,14.03,343.8,0.034,-166.0,4.1097063347424985e-05
442,16.92,171.2,0.147,-842.4,9.248640016641211e-05
443,6.77,73.2,0.101,310.1,4.132363634990312e-05
444,24.92,186.8,0.162,-626.6,0.0001670822310396
445,16.92,325.9,0.101,329.7,8.118452260994134e-05
446,12.33,66.2,0.015,-1479.7,4.992518698002403e-05
447,8.21,211.9,0.118,1917.5,0.0001429910002929
448,24.56,7.6,0.019,,3.33682215831862e-05
449,21.43,206.4,0.142,664.2,0.0001151772541357
450,18.12,355.4,0.04,,0.0001219099744557
451,23.69,62.3,0.057,1236.3,6.560449857359738e-05
452,15.17,211.4,0.105,648.5,5.353710929576267e-05
453,22.69,160.9,0.109,-1536.0,2.962737911147369e-05
454,5.31,183.5,0.014,-1700.8,2.49389811235876e-05
455,19.94,244.0,0.103,,0.0001292391849117
456,17.68,84.8,0.173,-437.0,1.5393099949031673e-05
457,5.54,178.1,0.062,159.9,6.310003174774166e-05
458,5.06,109.8,0.044,-1349.5,9.413225931125847e-05
459,21.1,356.5,0.139,-1427.9,2.102581876032296e-05
460,5.45,142.6,0.014,,3.869268534160624e-05
461,11.64,272.1,0.074,-949.4,6.387897090786722e-05
462,23.97,229.1,0.125,-1923.1,0.0001023392461926
463,13.27,214.6,0.032,-1580.9,0.000116638537597
464,15.16,96.3,0.163,-1015.3,0.0001005827492962
465,10.89,254.1,0.064,-727.9,1.2580149292902634e-05
466,16.13,303.6,0.06,162.6,0.0001076584600457
467,8.39,307.8,0.103,,3.5325844962407204e-05
468,21.28,194.3,0.041,114.1,0.0001182012649346
469,13.96,226.4,0.016,-1972.7,4.9130053971072016e-05
470,9.38,294.3,0.14,,0.0001579123589351
471,19.66,289.5,0.172,,0.0001383059323723
472,13.83,19.2,0.164,,0.0001272867562809
473,24.56,155.4,0.139,,0.0001614076503169
474,19.51,125.0,0.042,-1314.1,0.0001498831298406
475,8.31,99.8,0.161,793.8,3.5181380130176584e-05
476,9.45,198.8,0.158,,2.615028341606816e-05
477,7.96,203.7,0.116,212.0,5.393689970019765e-05
478,10.93,5.0,0.134,,0.000107184347197
479,22.92,267.3,0.048,-970.1,2.3033334264575747e-05
480,17.25,221.4,0.02,,0.0001030824802829
481,20.31,100.3,0.063,,7.707515638877447e-05
482,23.84,309.3,0.109,-885.2,0.00016711914638
483,17.76,22.6,0.074,,4.230923664406505e-05
484,19.77,6.8,0.052,,4.428240225945068e-06
485,14.69,232.6,0.116,,0.0001196637153531
486,20.58,91.0,0.122,1353.6,0.0001301820539439
487,23.19,306.2,0.114,,1.02174729597972e-05
488,23.26,76.3,0.169,-1264.4,8.915900613227823e-05
489,22.53,281.6,0.043,-457.3,2.322718171364606e-05
490,21.38,122.3,0.034,-856.0,4.743130425451591e-05
491,24.4,355.1,0.073,-713.0,9.145445659278464e-05
